service_date,gtfs_route_id,gtfs_route_long_name,peak_offpeak_ind,otp_numerator,otp_denominator,cancelled_numerator,ObjectId,otp_ratio,service_time
2024-12-22,CR-Needham,Needham Line,OFF_PEAK,16,16,0,9621,1.0,05:00:00
2024-12-22,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,14,17,0,9622,0.82,05:00:00
2024-12-22,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,16,18,0,9623,0.89,05:00:00
2024-12-22,CR-Fairmount,Fairmount Line,PEAK,0,0,0,9624,,05:00:00
2024-12-22,CR-Fitchburg,Fitchburg Line,PEAK,0,0,0,9625,,05:00:00
2024-12-22,CR-Franklin,Franklin Line,PEAK,0,0,0,9626,,05:00:00
2024-12-22,CR-Greenbush,Greenbush Line,PEAK,0,0,0,9627,,05:00:00
2024-12-22,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,9643,,05:00:00
2024-12-22,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,9644,,05:00:00
2024-12-22,CR-Providence,Providence/Stoughton Line,PEAK,0,0,0,9645,,05:00:00
2024-12-22,CR-Providence,Providence/Stoughton Line,OFF_PEAK,16,20,1,9658,0.8,05:00:00
2024-12-21,CR-Needham,Needham Line,OFF_PEAK,17,17,0,9700,1.0,05:00:00
2024-12-21,CR-Fairmount,Fairmount Line,OFF_PEAK,30,33,0,9703,0.91,05:00:00
2024-12-21,CR-Providence,Providence/Stoughton Line,OFF_PEAK,14,20,0,9704,0.7,05:00:00
2024-12-23,CR-Middleborough,Middleborough/Lakeville Line,PEAK,5,6,0,9714,0.83,05:00:00
2024-12-23,CR-Providence,Providence/Stoughton Line,PEAK,7,10,0,9715,0.7,05:00:00
2024-12-23,CR-Worcester,Framingham/Worcester Line,PEAK,11,17,1,9737,0.65,05:00:00
2024-12-21,CR-Fitchburg,Fitchburg Line,OFF_PEAK,13,16,0,9756,0.81,05:00:00
2024-12-21,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,19,20,0,9808,0.95,05:00:00
2024-12-21,CR-Newburyport,Newburyport/Rockport Line,PEAK,0,0,0,9834,,05:00:00
2024-12-21,CR-Haverhill,Haverhill Line,PEAK,0,0,0,9850,,05:00:00
2024-12-21,CR-Kingston,Kingston/Plymouth Line,PEAK,0,0,0,9851,,05:00:00
2024-12-22,CR-Needham,Needham Line,PEAK,0,0,0,9864,,05:00:00
2024-12-22,CR-Fairmount,Fairmount Line,OFF_PEAK,28,33,1,9883,0.85,05:00:00
2024-12-22,CR-Newburyport,Newburyport/Rockport Line,PEAK,0,0,0,9903,,05:00:00
2024-12-21,CR-Franklin,Franklin Line,OFF_PEAK,20,20,0,9907,1.0,05:00:00
2024-12-21,CR-Greenbush,Greenbush Line,OFF_PEAK,10,16,0,9908,0.62,05:00:00
2024-12-21,CR-Haverhill,Haverhill Line,OFF_PEAK,16,16,0,9909,1.0,05:00:00
2024-12-21,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,14,18,0,9910,0.78,05:00:00
2024-12-21,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,19,20,0,9911,0.95,05:00:00
2024-12-21,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,15,17,0,9912,0.88,05:00:00
2024-12-21,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,15,19,0,9913,0.79,05:00:00
2024-12-21,CR-Fairmount,Fairmount Line,PEAK,0,0,0,9914,,05:00:00
2024-12-21,CR-Fitchburg,Fitchburg Line,PEAK,0,0,0,9915,,05:00:00
2024-12-21,CR-Franklin,Franklin Line,PEAK,0,0,0,9916,,05:00:00
2024-12-21,CR-Greenbush,Greenbush Line,PEAK,0,0,0,9917,,05:00:00
2024-12-21,CR-Needham,Needham Line,PEAK,0,0,0,9918,,05:00:00
2024-12-21,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,9938,,05:00:00
2024-12-21,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,9939,,05:00:00
2024-12-21,CR-Providence,Providence/Stoughton Line,PEAK,0,0,0,9940,,05:00:00
2024-12-23,CR-Providence,Providence/Stoughton Line,OFF_PEAK,11,25,0,9986,0.44,05:00:00
2024-12-23,CR-Providence,Providence/Stoughton Line,OFF_PEAK,26,32,0,9987,0.81,05:00:00
2024-12-23,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,26,30,1,9988,0.87,05:00:00
2024-12-19,CR-Lowell,Lowell Line,PEAK,11,11,0,10018,1.0,05:00:00
2024-12-19,CR-Newburyport,Newburyport/Rockport Line,PEAK,7,8,0,10042,0.88,05:00:00
2024-12-20,CR-Worcester,Framingham/Worcester Line,PEAK,10,17,2,10054,0.59,05:00:00
2024-12-20,CR-Lowell,Lowell Line,PEAK,11,11,0,10070,1.0,05:00:00
2024-12-20,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,6,0,10113,0.83,05:00:00
2024-12-20,CR-Newburyport,Newburyport/Rockport Line,PEAK,8,8,0,10114,1.0,05:00:00
2024-12-20,CR-Haverhill,Haverhill Line,PEAK,9,12,0,10137,0.75,05:00:00
2024-12-20,CR-Kingston,Kingston/Plymouth Line,PEAK,5,8,0,10138,0.62,05:00:00
2024-12-20,CR-Fitchburg,Fitchburg Line,OFF_PEAK,27,29,0,10144,0.93,05:00:00
2024-12-20,CR-Franklin,Franklin Line,OFF_PEAK,15,18,0,10145,0.83,05:00:00
2024-12-20,CR-Greenbush,Greenbush Line,OFF_PEAK,17,20,0,10146,0.85,05:00:00
2024-12-20,CR-Haverhill,Haverhill Line,OFF_PEAK,27,31,0,10147,0.87,05:00:00
2024-12-20,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,13,18,0,10148,0.72,05:00:00
2024-12-20,CR-Lowell,Lowell Line,OFF_PEAK,26,26,0,10149,1.0,05:00:00
2024-12-20,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,22,0,10150,1.0,05:00:00
2024-12-20,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,23,0,10151,0.96,05:00:00
2024-12-20,CR-Fitchburg,Fitchburg Line,PEAK,8,9,0,10155,0.89,05:00:00
2024-12-20,CR-Greenbush,Greenbush Line,PEAK,4,6,0,10156,0.67,05:00:00
2024-12-20,CR-Needham,Needham Line,PEAK,7,8,0,10157,0.88,05:00:00
2024-12-19,CR-Lowell,Lowell Line,OFF_PEAK,26,26,0,10177,1.0,05:00:00
